id,prodName,prodCatid,prodCat,prodPcatid,prodPcat,lowPrice,highPrice,avgPrice,place,specInfo,unitInfo,pubDate,status,userIdCreate,userIdModified,userCreate,userModified,gmtCreate,gmtModified
1348066,大白菜,1186,蔬菜,None,,0.7,0.8,0.75,冀,,斤,2022-10-16 00:00:00,None,138,None,admin,None,None,None
1348065,娃娃菜,1186,蔬菜,None,,1.3,1.6,1.45,冀,大,斤,2022-10-16 00:00:00,None,138,None,admin,None,None,None
1348064,小白菜,1186,蔬菜,None,,1.0,1.3,1.15,冀,,斤,2022-10-16 00:00:00,None,138,None,admin,None,None,None
1348063,圆白菜,1186,蔬菜,None,,0.7,1.2,0.95,冀,,斤,2022-10-16 00:00:00,None,138,None,admin,None,None,None
1348062,紫甘蓝,1186,蔬菜,None,,1.3,1.5,1.4,冀,,斤,2022-10-16 00:00:00,None,138,None,admin,None,None,None
1348061,芹菜,1186,蔬菜,None,,1.2,1.5,1.35,鲁,,斤,2022-10-16 00:00:00,None,138,None,admin,None,None,None
1348060,西芹,1186,蔬菜,None,,2.5,3.0,2.75,冀,,斤,2022-10-16 00:00:00,None,138,None,admin,None,None,None
1348059,菠菜,1186,蔬菜,None,,1.8,2.5,2.15,京冀,,斤,2022-10-16 00:00:00,None,138,None,admin,None,None,None
1348058,莴笋,1186,蔬菜,None,,2.0,2.5,2.25,冀津,,斤,2022-10-16 00:00:00,None,138,None,admin,None,None,None
1348057,团生菜,1186,蔬菜,None,,0.8,1.5,1.15,冀京,白球\净,斤,2022-10-16 00:00:00,None,138,None,admin,None,None,None
1348056,散叶生菜,1186,蔬菜,None,,1.5,3.0,2.25,冀辽,毛\箱,斤,2022-10-16 00:00:00,None,138,None,admin,None,None,None
1348055,罗马生菜,1186,蔬菜,None,,2.0,2.5,2.25,冀云,,斤,2022-10-16 00:00:00,None,138,None,admin,None,None,None
1348054,油菜,1186,蔬菜,None,,1.2,2.0,1.6,鲁京,大\小,斤,2022-10-16 00:00:00,None,138,None,admin,None,None,None
1348053,香菜,1186,蔬菜,None,,2.5,3.0,2.75,冀,,斤,2022-10-16 00:00:00,None,138,None,admin,None,None,None
1348052,茴香,1186,蔬菜,None,,1.5,2.0,1.75,冀,,斤,2022-10-16 00:00:00,None,138,None,admin,None,None,None
1348051,韭菜,1186,蔬菜,None,,2.5,3.2,2.85,冀粤,,斤,2022-10-16 00:00:00,None,138,None,admin,None,None,None
1348050,苦菊,1186,蔬菜,None,,3.0,3.3,3.15,冀辽,,斤,2022-10-16 00:00:00,None,138,None,admin,None,None,None
1348049,油麦菜,1186,蔬菜,None,,3.5,4.0,3.75,冀辽云,,斤,2022-10-16 00:00:00,None,138,None,admin,None,None,None
1348048,散菜花,1186,蔬菜,None,,2.0,2.8,2.4,冀豫陕,,斤,2022-10-16 00:00:00,None,138,None,admin,None,None,None
1348047,绿菜花,1186,蔬菜,None,,2.5,3.3,2.9,冀,,斤,2022-10-16 00:00:00,None,138,None,admin,None,None,None
1348046,绿豆芽,1186,蔬菜,None,,0.95,1.0,0.98,,,斤,2022-10-16 00:00:00,None,138,None,admin,None,None,None
1348045,黄豆芽,1186,蔬菜,None,,0.85,0.9,0.88,,,斤,2022-10-16 00:00:00,None,138,None,admin,None,None,None
1348044,番茄,1186,蔬菜,None,,1.8,3.2,2.5,蒙冀鲁,黑框,斤,2022-10-16 00:00:00,None,138,None,admin,None,None,None
1348043,番茄,1186,蔬菜,None,,3.0,4.0,3.5,冀蒙,纸箱\泡沫箱,斤,2022-10-16 00:00:00,None,138,None,admin,None,None,None
1348042,番茄,1186,蔬菜,None,,3.5,4.6,4.05,蒙,白框,斤,2022-10-16 00:00:00,None,138,None,admin,None,None,None
1348041,黄瓜,1186,蔬菜,None,,1.2,2.2,1.7,鲁辽,袋\箱,斤,2022-10-16 00:00:00,None,138,None,admin,None,None,None
1348040,黄瓜,1186,蔬菜,None,,2.5,3.5,3.0,冀,鲜干花,斤,2022-10-16 00:00:00,None,138,None,admin,None,None,None
1348039,小黄瓜,1186,蔬菜,None,,3.0,4.0,3.5,辽鲁,旱\荷兰,斤,2022-10-16 00:00:00,None,138,None,admin,None,None,None
1348038,茄子,1186,蔬菜,None,,1.0,3.0,2.0,冀京鲁豫,,斤,2022-10-16 00:00:00,None,138,None,admin,None,None,None
1348037,长茄,1186,蔬菜,None,,0.8,2.5,1.65,冀辽,,斤,2022-10-16 00:00:00,None,138,None,admin,None,None,None
1348036,线茄,1186,蔬菜,None,,1.0,3.0,2.0,冀京,袋\箱,斤,2022-10-16 00:00:00,None,138,None,admin,None,None,None
1348035,广茄,1186,蔬菜,None,,1.0,2.0,1.5,冀京,,斤,2022-10-16 00:00:00,None,138,None,admin,None,None,None
1348034,冬瓜,1186,蔬菜,None,,0.7,0.9,0.8,冀豫辽,吊,斤,2022-10-16 00:00:00,None,138,None,admin,None,None,None
1348033,冬瓜,1186,蔬菜,None,,0.45,0.55,0.5,冀豫,地,斤,2022-10-16 00:00:00,None,138,None,admin,None,None,None
1348032,毛冬瓜,1186,蔬菜,None,,0.8,1.3,1.05,冀豫,长\小,斤,2022-10-16 00:00:00,None,138,None,admin,None,None,None
1348031,架豆,1186,蔬菜,None,,3.5,5.0,4.25,冀云津,,斤,2022-10-16 00:00:00,None,138,None,admin,None,None,None
1348030,豆王,1186,蔬菜,None,,3.5,5.0,4.25,辽晋,,斤,2022-10-16 00:00:00,None,138,None,admin,None,None,None
1348029,扁豆,1186,蔬菜,None,,4.0,5.0,4.5,冀,,斤,2022-10-16 00:00:00,None,138,None,admin,None,None,None
1348028,豇豆,1186,蔬菜,None,,3.0,4.5,3.75,鲁云冀,湿\干,斤,2022-10-16 00:00:00,None,138,None,admin,None,None,None
1348027,白不老,1186,蔬菜,None,,2.0,4.5,3.25,辽鲁,,斤,2022-10-16 00:00:00,None,138,None,admin,None,None,None
